NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06481943,A Prospective Research Investigation of Ischemia Using MCG,https://clinicaltrials.gov/study/NCT06481943,NOT_YET_RECRUITING,Acute Coronary Syndrome,DEVICE: Sponsor MCG device (CardiAQ),"SB Technology, Inc.",Mayo Clinic,OBSERVATIONAL
NCT06481930,A Multicenter Real-world Study of Screening of Cervical Cancer Based on Photoelectric Detection,https://clinicaltrials.gov/study/NCT06481930,NOT_YET_RECRUITING,Uterine Cervical Cancer|High Grade Squamous Intraepithelial Lesions|Low Grade Squamous Intraepithelial Lesions,DIAGNOSTIC_TEST: Detection of Cervical Lesions by Fluorescence Photoelectric Image,Lei Li,,OBSERVATIONAL
NCT06481917,Home-based Nurse Intervention in the Care of High Risk of Death Patients After Discharge From Geriatric Department,https://clinicaltrials.gov/study/NCT06481917,NOT_YET_RECRUITING,Health Services for the Aged|Advance Care Planning,OTHER: Advance care plan|OTHER: Ergonomic analysis|OTHER: Evaluation of intervention acceptability,Lille Catholic University,,INTERVENTIONAL
NCT06481904,Registry for Stage 2 Type 1 Diabetes,https://clinicaltrials.gov/study/NCT06481904,RECRUITING,Type 1 Diabetes,DRUG: TZIELD (teplizumab-mzwv),Sanofi,,OBSERVATIONAL
NCT06481891,A Study to Evaluate the Efficacy and Safety of Sotagliflozin in Symptomatic Obstructive and Non-obstructive Hypertrophic Cardiomyopathy,https://clinicaltrials.gov/study/NCT06481891,RECRUITING,"Obstructive Cardiomyopathy, Hypertrophic|Non-obstructive Hypertrophic Cardiomyopathy",DRUG: Sotagliflozin|DRUG: Placebo,Lexicon Pharmaceuticals,,INTERVENTIONAL
NCT06481878,Validation of an Alzheimer's Disease Marker by Fecal Assay of Amyloid Peptides and Tau Proteins,https://clinicaltrials.gov/study/NCT06481878,NOT_YET_RECRUITING,Alzheimer Disease,DIAGNOSTIC_TEST: faecal analysis,"University Hospital, Grenoble",,OBSERVATIONAL
NCT06481865,Weight-bearing of Patients After Pelvic Ring Fracture,https://clinicaltrials.gov/study/NCT06481865,RECRUITING,Weight-bearing of Patients After Pelvic Ring Fracture,,"University Hospital, Grenoble",,OBSERVATIONAL
NCT06481852,"A Placebo-controlled, Randomized Clinical Trial to Assess the Safety, Feasibility, and Pharmacokinetics of Microbiota Transplant Therapy With Antibiotic Preconditioning and Fiber Supplementation in Patients With Pulmonary Arterial Hypertension",https://clinicaltrials.gov/study/NCT06481852,NOT_YET_RECRUITING,Pulmonary Arterial Hypertension,DRUG: MTT with antibiotic preconditioning + fiber supplementation|DRUG: MTT with antibiotic preconditioning + placebo supplementation|OTHER: MTT with placebo + placebo supplementation.,University of Minnesota,,INTERVENTIONAL
NCT06481839,Impact of Starting Dose of Vasopressor on Hemodynamic Response in Shock,https://clinicaltrials.gov/study/NCT06481839,NOT_YET_RECRUITING,Shock,OTHER: Starting dose of NE,University of Illinois at Chicago,,INTERVENTIONAL
NCT06481826,Glofitamab in Chinese Patients With R/R DLBCL,https://clinicaltrials.gov/study/NCT06481826,RECRUITING,DLBCL - Diffuse Large B Cell Lymphoma,DRUG: Glofitamab,Peking Union Medical College Hospital,,OBSERVATIONAL
NCT06481813,"Prospective, Longitudinal Biocollection in Thoracic Oncology, Including Newly Diagnosed Lung Cancer Patients",https://clinicaltrials.gov/study/NCT06481813,NOT_YET_RECRUITING,"Lung Cancer|Carcinoma, Non-Small-Cell Lung|Small Cell Lung Carcinoma|Metastatic Lung Cancer",OTHER: Blood Sampling (2*8mL Tubes)|OTHER: PBMC Sampling (1*8mL Tubes)|OTHER: Paxgene Sampling,Nantes University Hospital,,INTERVENTIONAL
NCT06481800,PMR Versus MLD on RLS and Sleep Quality in Hemodialysis Patients,https://clinicaltrials.gov/study/NCT06481800,COMPLETED,Hemodialysis Complication,OTHER: Progressive muscle relaxation (PMR)|OTHER: cnotrol group|OTHER: Manual lymphatic drainage (MLD),MTI University,,INTERVENTIONAL
NCT06481787,Zuojin Wan Combined With Woonosan Fumarate for the Treatment of GRD Combined With Depression,https://clinicaltrials.gov/study/NCT06481787,NOT_YET_RECRUITING,Gastroesophageal Reflux Disease|Depression,DRUG: Vonorasan Fumarate|DRUG: Zuojin Pills,"Nanjing First Hospital, Nanjing Medical University",,INTERVENTIONAL
NCT06481774,"Promoting Access, Resources and Treatment Through Novel and Equitable Solutions for Cancer Care",https://clinicaltrials.gov/study/NCT06481774,NOT_YET_RECRUITING,Cancer,BEHAVIORAL: CONNECT platform,Case Comprehensive Cancer Center,,INTERVENTIONAL
NCT06481761,The Effectiveness of Double-slot Brackets Versus Single-slot Brackets on the Rate of Canine Retraction,https://clinicaltrials.gov/study/NCT06481761,RECRUITING,Rate of Canine Retraction,DEVICE: Double-slot brackets|DEVICE: Single-slot brackets,Cairo University,,INTERVENTIONAL
NCT06481748,Unleashing Unpredictability: The Batman Project and Its Impact on Prosocial Behavior and Awareness,https://clinicaltrials.gov/study/NCT06481748,NOT_YET_RECRUITING,Social Behavior,OTHER: Batman,Catholic University of the Sacred Heart,,OBSERVATIONAL
NCT06481735,TCR Reserved and Power3 Gene Knock-out Allogeneic CD19-targeting CAR-T Cell Therapy in r/r B-ALL,https://clinicaltrials.gov/study/NCT06481735,RECRUITING,Acute Lymphocytic Leukemia,BIOLOGICAL: TCR reserved and Power3 Gene Knock-out Allogeneic CD19-targeting CAR-T cell|DRUG: Fludarabine|DRUG: Cyclophosphamide,Chinese PLA General Hospital,Peking University|EdiGene Inc.,INTERVENTIONAL
NCT06481722,Knee Joint Angle Affect Muscle Architecture in Children With Cerebral Palsy,https://clinicaltrials.gov/study/NCT06481722,COMPLETED,Spastic Cerebral Palsy,OTHER: cerebral palsy,Cairo University,,OBSERVATIONAL
NCT06481709,Study on Sapropterin Dihydrochloride Oral Suspension in Healthy Subjects,https://clinicaltrials.gov/study/NCT06481709,RECRUITING,Bioavailability,DRUG: RLF-OD032|DRUG: Kuvan,APR Applied Pharma Research s.a.,,INTERVENTIONAL
NCT06481696,Possible Action of Resveratrol in Improving the Outcomes of IVF/ICSI in Couples With Unexplained Infertility,https://clinicaltrials.gov/study/NCT06481696,RECRUITING,Unexplained Infertility,"DIETARY_SUPPLEMENT: Resveratrol-based multivitamin supplement|DIETARY_SUPPLEMENT: Folic acid|PROCEDURE: IVF/ICSI|DRUG: Follitropin Alfa|DRUG: Ganirelix Acetate 0.5 MG/ML [Fyremadel]|DRUG: hCG 10.000 IU or triptorelin 0,3 mg, subcutaneously",Andros Day Surgery Clinic,,INTERVENTIONAL
NCT06481683,Maternal Serum Stathmin-1 Levels in Preeclampsia,https://clinicaltrials.gov/study/NCT06481683,COMPLETED,Preeclampsia,,Burak Yücel Special Clinic,Saglik Bilimleri Universitesi,OBSERVATIONAL
NCT06481670,Carbohydrate Fluids and Post Operative Nausea and Vomiting,https://clinicaltrials.gov/study/NCT06481670,NOT_YET_RECRUITING,"Nausea, Postoperative|Vomiting, Postoperative",OTHER: Carbohydrate drink,Boston Medical Center,,INTERVENTIONAL
NCT06481657,The Effect of Oxygen Supplementation in Training in Heart Failure Patients on Aerobic Performance and Quality of Life,https://clinicaltrials.gov/study/NCT06481657,COMPLETED,Heart Failure With Reduced Ejection Fraction|Heart Failure With Mid Range Ejection Fraction,OTHER: train with oxygen and without oxygen enrichment (placebo).,Laniado Hospital,,INTERVENTIONAL
NCT06481644,Asia Pediatric Intensive Care Epidemiology and Outcomes Study,https://clinicaltrials.gov/study/NCT06481644,RECRUITING,Pediatrics|Intensive Care Unit|Critical Illness,,KK Women's and Children's Hospital,King Chulalongkorn Memorial Hospital,OBSERVATIONAL
NCT06481631,Patient-clinical Linkage Intervention for Improving Trust and Engagement in Postpartum Healthcare for Women in the Mississippi Delta (Particular Focus on Black Women),https://clinicaltrials.gov/study/NCT06481631,NOT_YET_RECRUITING,Family Dynamics|Trust in Healthcare System|Family Structure|Health Literacy|Contraception,BEHAVIORAL: The PEN-3 Intervention Model,Jackson State University,Mississippi State Department of Health|University of Mississippi Medical Center|Harvard School of Public Health (HSPH),INTERVENTIONAL
NCT06481618,Impact of Stress on Management of BAVU Ventilation (Self-filling Bag With One-way Valve) by Healthcare Professionals.,https://clinicaltrials.gov/study/NCT06481618,RECRUITING,Any Healthcare Professional|Agreement to Participate|Who May be Required to Perform Manual Ventilation,,"University Hospital, Clermont-Ferrand",,OBSERVATIONAL
NCT06481605,A Novel Adaptive Anastomotic Technique for Left-sided Colonic and Rectal Resection,https://clinicaltrials.gov/study/NCT06481605,NOT_YET_RECRUITING,Colorectal Neoplasms,DEVICE: C-REX,Istituto Clinico Humanitas,Carponovum AB,INTERVENTIONAL
NCT06481592,A Study of Lifileucel (Tumor-infiltrating Lymphocytes) in Adults With Advanced Endometrial Cancer.,https://clinicaltrials.gov/study/NCT06481592,NOT_YET_RECRUITING,Endometrial Cancer,BIOLOGICAL: Lifileucel,"Iovance Biotherapeutics, Inc.",,INTERVENTIONAL
NCT06481579,A Study of IVX-A12 in Adults Participants,https://clinicaltrials.gov/study/NCT06481579,ACTIVE_NOT_RECRUITING,Healthy Participants,BIOLOGICAL: IVX-A12|BIOLOGICAL: Licensed RSV Vaccine,"Icosavax, Inc.",,INTERVENTIONAL
NCT06481566,Efficacy of Almonertinib Combined With Upfront Stereotactic Ablative Body Radiotherapy to Residual Primary Lung Lesions in Advanced Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT06481566,RECRUITING,Non-small Cell Lung Cancer,RADIATION: stereotactic ablative body radiotherapy,Chongqing University Cancer Hospital,,INTERVENTIONAL
NCT06481553,RWS of Paclitaxel Liposome Combined With Anti-HER-2 Monoclonal Antibody,https://clinicaltrials.gov/study/NCT06481553,ACTIVE_NOT_RECRUITING,Breast Cancer Stage IV,DRUG: first line treatment,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,OBSERVATIONAL
NCT06481540,SpiroGym App-Aided Cough Rehabilitation,https://clinicaltrials.gov/study/NCT06481540,RECRUITING,Parkinson Disease|Voluntary Peak Cough Strength|mHealth,DEVICE: Expiratory muscle strength training + SpiroGym application|DEVICE: Expiratory muscle strength training,"General University Hospital, Prague",,INTERVENTIONAL
NCT06481527,Seen and Be Heard: Ensuring Fair Cancer Care for All Children,https://clinicaltrials.gov/study/NCT06481527,NOT_YET_RECRUITING,Cancer|Oncology|Haematological Malignancy,,Great Ormond Street Hospital for Children NHS Foundation Trust,University College London Hospitals,OBSERVATIONAL
NCT06481514,FRI a Method of Reading Cardiotocography (CTG) in Labor,https://clinicaltrials.gov/study/NCT06481514,NOT_YET_RECRUITING,Labor Complication,OTHER: Interpretation of the CTG using FRI score|OTHER: Classic interpretation of the CTG,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,INTERVENTIONAL
NCT06481501,Mindfulness Intervention for Individuals With HIV and Chronic Pain,https://clinicaltrials.gov/study/NCT06481501,RECRUITING,Chronic Pain|HIV Infections,BEHAVIORAL: ONE Mindfulness-Oriented Recovery Enhancement,Florida State University,,INTERVENTIONAL
NCT06481488,A Study of E2086 in Healthy Adult Participants,https://clinicaltrials.gov/study/NCT06481488,NOT_YET_RECRUITING,Healthy Volunteers,DRUG: E2086|DRUG: Placebo,Eisai Inc.,,INTERVENTIONAL
NCT06481475,A Study to Investigate the Safety and Efficacy of YY003 in Adults With Moderate to Severe Glabellar Lines,https://clinicaltrials.gov/study/NCT06481475,NOT_YET_RECRUITING,Moderate to Severe Glabellar Lines,BIOLOGICAL: YY003|BIOLOGICAL: Vehicle Control,"Chongqing Claruvis Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT06481462,Intrathecal Morphine vs. US-Guided Bilateral Posterior Quadratus Lumborum Block in Cesarean Section,https://clinicaltrials.gov/study/NCT06481462,RECRUITING,Anesthesia|Postoperative Pain,PROCEDURE: Intrathecal Morphine (ITM)|PROCEDURE: Quadratus Lumborum II (QLB-II) Block,Ondokuz Mayıs University,,OBSERVATIONAL
NCT06481449,Definitive Radiotherapy for Cervical and Upper Thoracic Esophageal Cancer (ChC&UES): A Multi-center Real World Study,https://clinicaltrials.gov/study/NCT06481449,RECRUITING,Esophageal Neoplasm,,Hebei Medical University Fourth Hospital,"Tianjin Medical University Cancer Institute and Hospital|Cancer Institute and Hospital, Chinese Academy of Medical Sciences|Fujian Cancer Hospital|Fudan University|Shandong Cancer Hospital and Institute",OBSERVATIONAL
NCT06481436,Use of Artificial Intelligence by Urogynecologic Patients,https://clinicaltrials.gov/study/NCT06481436,RECRUITING,Uterovaginal Prolapse|Urinary Incontinence|Lower Urinary Tract Symptoms,BEHAVIORAL: Use of ChatGPT,Hartford Hospital,Boston Scientific Corporation,INTERVENTIONAL
NCT06481423,Digital Management of Sleep Health,https://clinicaltrials.gov/study/NCT06481423,RECRUITING,Chronic Insomnia,BEHAVIORAL: dCBT-I|BEHAVIORAL: Relaxing music,Jia Xiu,,INTERVENTIONAL
NCT06481410,Efficacy and Safety of Methylene Blue in the Treatment of Severe Septic Shock,https://clinicaltrials.gov/study/NCT06481410,NOT_YET_RECRUITING,Septic Shock|Methylene Blue|Sepsis,DRUG: Methylene Blue Intervention Group|DRUG: Normal Saline Control Group,First Affiliated Hospital of Zhejiang University,"Yuyao People's Hospital of Zhejiang Province|ENZE HOSPITAL OF TAIZHOU ENZE MEDICAL CENTER|NINGBO MEDICAL CENTER LIHUIIHOSPITAI|People's Hospital of Guangxi|The second Nanning People's Hospital|GUI LIN PEOPLE'S HOSPITAL|Guangxi Hospital Division of The First Affiliated Hospital, Sun Yat-sen University|The First People's Hospital of Huzhou|Hangzhou Yuhang District Second People's Hospital|Wuming Hospital of Guangxi Medical University",INTERVENTIONAL
NCT06481397,OSCAR I STUDY - The Onco Seraph CTC Removal Study,https://clinicaltrials.gov/study/NCT06481397,RECRUITING,Pancreatic Ductal Adenocarcinoma (PDAC),DEVICE: Onco-Seraph 100 Filter,ExThera Medical Corporation,,INTERVENTIONAL
NCT06481384,Validity and Reliability of the Self-administered Timed Up and Go Test: a Promising Telehealth Resource for Monitoring the Risk of Falls in Community-dwelling Older Adults,https://clinicaltrials.gov/study/NCT06481384,COMPLETED,Telehealth,,Anabela Correia Martins,,OBSERVATIONAL
NCT06481371,Zuojin Wan Combined With Rabeprazole or Mosapride for the Treatment of Functional Dyspepsia Combined With Depression,https://clinicaltrials.gov/study/NCT06481371,NOT_YET_RECRUITING,Functional Dyspepsia|Depression,DRUG: zuojinwan|DRUG: Rabeprazole sodium enteric-coated tablets|DRUG: mosapride citrate,"Nanjing First Hospital, Nanjing Medical University",,INTERVENTIONAL
NCT06481358,Deep Learning-based Artificial Intelligence for the Diagnosis of Small Bowel Obstruction,https://clinicaltrials.gov/study/NCT06481358,ACTIVE_NOT_RECRUITING,Bowel Obstruction|Artificial Intelligence,DIAGNOSTIC_TEST: Artificial intelligence,Nagoya University,,OBSERVATIONAL
NCT06481345,"Characterization of Myeloproliferative Neoplasia With a Mutated IDH, SRSF2 or SF3B1 Allele (CARPEDIEM)",https://clinicaltrials.gov/study/NCT06481345,ACTIVE_NOT_RECRUITING,Myeloproliferative Disorders,,"University Hospital, Brest",,OBSERVATIONAL
NCT06481332,"Diagnostic Characterization and Evolution of ""Triple Negative"" Thrombocytosis (CASTETTE)",https://clinicaltrials.gov/study/NCT06481332,ACTIVE_NOT_RECRUITING,Myeloproliferative Neoplasm,,"University Hospital, Brest",,OBSERVATIONAL
NCT06481319,Implementing a Pilot Patient Navigator Program to Improve Access to Infertility Care for Underserved Patients,https://clinicaltrials.gov/study/NCT06481319,NOT_YET_RECRUITING,Infertility,BEHAVIORAL: Infertility Patient Navigator,Boston Medical Center,,INTERVENTIONAL
NCT06481306,A Study to Evaluate BMS-986470 in Healthy Volunteers and Participants With Sickle Cell Disease,https://clinicaltrials.gov/study/NCT06481306,RECRUITING,"Anemia, Sickle Cell|Healthy Volunteers",DRUG: BMS-986470|DRUG: Placebo,Bristol-Myers Squibb,,INTERVENTIONAL
NCT06481293,Tackling Dry Socket Via Laser Therapy in Smokers,https://clinicaltrials.gov/study/NCT06481293,RECRUITING,Alveolar Osteitis,DEVICE: Diode laser therapy|COMBINATION_PRODUCT: Alveogyl dressing,Badr University,,INTERVENTIONAL
NCT06481280,"Evaluation of Tolerance, Efficacy and Safety of an Hydrolyzed Formula in Infants With IgE/Non-IgE Mediated CMA.",https://clinicaltrials.gov/study/NCT06481280,NOT_YET_RECRUITING,Cow's Milk Allergy,DIETARY_SUPPLEMENT: Test Formula|DIETARY_SUPPLEMENT: Placebo Formula,United Pharmaceuticals,Slb Pharma,INTERVENTIONAL
NCT06481267,[Trial of device that is not approved or cleared by the U.S. FDA],https://clinicaltrials.gov/study/NCT06481267,WITHHELD,,,[Redacted],,
NCT06481254,"Effect of Hawthorn Vinegar, Black Mulberry Syrup and Green Tea on Oral Mucositis",https://clinicaltrials.gov/study/NCT06481254,COMPLETED,Mucositis|Quality of Life,OTHER: Hawthorn Vinegar Group|OTHER: Black Mulberry Syrup Group|OTHER: Green Tea Group,Karadeniz Technical University,Bayburt University,INTERVENTIONAL
NCT06481241,Efficacy and Safety of Chemotherapy Combined With CAR-T Cells in Newly Diagnosed Adult Patients With Ph- B-ALL,https://clinicaltrials.gov/study/NCT06481241,NOT_YET_RECRUITING,"Philadelphia Chromosome Negative ALL|Acute Lymphoblastic Leukemia, Adult",COMBINATION_PRODUCT: CAR-T cells|DRUG: Venetoclax,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL
NCT06481228,Efficacy and Safety of TKI Combined With Chemotherapy and Sequential CAR-T Cells in ND Adult Patients With Ph+ ALL,https://clinicaltrials.gov/study/NCT06481228,NOT_YET_RECRUITING,"Philadelphia Positive Acute Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia, Adult",COMBINATION_PRODUCT: CAR-T cells|DRUG: Venetoclax|DRUG: Olverembatinib,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL
NCT06481215,A Safety and Pharmacokinetics Study of Ustekinumab Biosimilar GNR-068 and Stelara® in Healthy Volunteers,https://clinicaltrials.gov/study/NCT06481215,COMPLETED,Healthy Volunteers,BIOLOGICAL: GNR-068|BIOLOGICAL: Stelara®,AO GENERIUM,,INTERVENTIONAL
NCT06481202,A Safety and Pharmacokinetic Study of Complarate (Tocilizumab Biosimilar) and Actemra® in Healthy Volunteers,https://clinicaltrials.gov/study/NCT06481202,COMPLETED,Healthy Volunteers,BIOLOGICAL: Complarate®|BIOLOGICAL: Actemra®,AO GENERIUM,,INTERVENTIONAL
NCT06481189,"A Safety, Pharmacokinetics and Pharmacodynamics Study of GNR-086 and Ilaris® in Healthy Volunteers",https://clinicaltrials.gov/study/NCT06481189,COMPLETED,Healthy Volunteers,BIOLOGICAL: GNR-086|BIOLOGICAL: Ilaris®,AO GENERIUM,,INTERVENTIONAL
NCT06481176,Blood Changes After Exercise in Restless Legs Syndrome,https://clinicaltrials.gov/study/NCT06481176,NOT_YET_RECRUITING,Restless Legs Syndrome,BEHAVIORAL: 12-Week RLS Exercise Program,Stanford University,,INTERVENTIONAL
NCT06481163,Telacebec (T) Treatment in Adults With Buruli Ulcer (BU).,https://clinicaltrials.gov/study/NCT06481163,RECRUITING,Buruli Ulcer,DRUG: Telacebec,Barwon Health,Global Alliance for TB Drug Development,INTERVENTIONAL
NCT06481150,A Novel Approach for Reducing Hyperoxaluria and Kidney Stone Risk.,https://clinicaltrials.gov/study/NCT06481150,NOT_YET_RECRUITING,Hyperoxaluria,DRUG: Tenapanor|OTHER: Placebo,University of Texas Southwestern Medical Center,National Center for Advancing Translational Sciences (NCATS),INTERVENTIONAL
NCT06481137,Reversibility of Cardiac Conduction Disturbances Following TAVI,https://clinicaltrials.gov/study/NCT06481137,RECRUITING,Aortic Stenosis|Transcatheter Aortic Valve Implantation|Conduction Disturbances,DIAGNOSTIC_TEST: Electrophysiological study (EP study)|DIAGNOSTIC_TEST: ePatch (extended Holter Monitoring),Institut d'Investigació Biomèdica de Bellvitge,Hospital Universitari de Bellvitge|Hospital Universitario La Paz|Hospital Vall d'Hebron|Hospital Universitario Ramon y Cajal|Hospital Universitario A Coruna Spain|Hospital Clinico Universitario de Santiago|Hospital Universitario Central de Asturias|Hospital Universitario Marqués de Valdecilla|Hospital Clínico Universitario de Valladolid,INTERVENTIONAL
NCT06481124,End-expiratory Pressure During Laparoscopic Surgery in the Trendelenburg Position by Electrical Impedance Tomography,https://clinicaltrials.gov/study/NCT06481124,NOT_YET_RECRUITING,Pneumoperitoneum|Trendelenburg Position|Laparoscopic Surgery,DEVICE: electrical impedance tomography,I.M. Sechenov First Moscow State Medical University,,OBSERVATIONAL
NCT06481111,Prospective Monocentric Registry of Patients Undergoing Vitamin D Treatment at San Raffaele Hospital,https://clinicaltrials.gov/study/NCT06481111,NOT_YET_RECRUITING,Hypovitaminosis D,DRUG: supplementary treatment with vitamin D,IRCCS San Raffaele,,OBSERVATIONAL
NCT06481098,A Phase 1 Study to Assess HM15275 in Healthy and Obese Subjects.,https://clinicaltrials.gov/study/NCT06481098,RECRUITING,Obesity,DRUG: HM15275|DRUG: Placebo of HM15275,Hanmi Pharmaceutical Company Limited,,INTERVENTIONAL
NCT06481085,To Evaluate Efficacy and Safety of HDM1002 Tablets in Adults With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT06481085,NOT_YET_RECRUITING,Type 2 Diabetes,DRUG: HDM1002 50 mg|DRUG: HDM1002 100 mg|DRUG: HDM1002 200 mg|DRUG: HDM1002 400 mg|DRUG: HDM1002 200 mg BID|DRUG: Placebo,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT06481072,Digital Psychological Intervention for Pediatric Functional Abdominal Pain Disorders in Primary Care,https://clinicaltrials.gov/study/NCT06481072,RECRUITING,Functional Abdominal Pain Syndrome,OTHER: Digital patient education|OTHER: Digital patient education and iCBT,Göteborg University,,INTERVENTIONAL
NCT06481059,suPAR is a Potential Biomarker of in Chronic Periodontitis Through the Impact of Post-radiotherapy on HNCs Patients,https://clinicaltrials.gov/study/NCT06481059,COMPLETED,Head and Neck Cancer|Chronic Periodontitis|Radiotherapy; Complications,RADIATION: Head and Neck cancer post-radiotherapy,Al-Maarif University College,,OBSERVATIONAL
NCT06481046,Treatment of Rotator Cuff Tears With Platelet Rich Plasma,https://clinicaltrials.gov/study/NCT06481046,WITHDRAWN,Rotator Cuff Tears|Rotator Cuff Tendinitis,BIOLOGICAL: Platelet Rich Plasma (PRP),The Foundation for Orthopaedics and Regenerative Medicine,,INTERVENTIONAL
NCT06481033,Suicide Specific Rumination in Veterans,https://clinicaltrials.gov/study/NCT06481033,NOT_YET_RECRUITING,Depression|Suicide|Mood Disorders,BEHAVIORAL: Real Time fMRI Neurofeedback,VA Office of Research and Development,,INTERVENTIONAL
NCT06481020,"Plant Sterols on Cardiovascular Markers, Microbiota and Sterol Metabolism (Cardiofoodsterol)",https://clinicaltrials.gov/study/NCT06481020,RECRUITING,Cardiovascular Diseases|Hypercholesterolemia|Prediabetic State|Overweight and Obesity,DIETARY_SUPPLEMENT: Plant sterols 2g/day|DIETARY_SUPPLEMENT: Placebo,University of Valencia,Hospital Universitario La Fe|University of Bologna,INTERVENTIONAL
NCT06481007,ALgerian Cholecystectomy Outcomes and Determinants Study (AL-CODS),https://clinicaltrials.gov/study/NCT06481007,NOT_YET_RECRUITING,Cholecystectomy|Adults|Gall Stone|Polyps|Pancreatitis Biliary|Gallbladder Dyskinesia|Cholecystitis,,University of Oran 1,,OBSERVATIONAL
NCT06480994,Exclusion of Venous Thrombo-Embolism With a New Clinical Decision Support,https://clinicaltrials.gov/study/NCT06480994,RECRUITING,Venous Thromboembolism|Pulmonary Embolism|Deep Vein Thrombosis,DIAGNOSTIC_TEST: Routine Assays on fresh plasma|DIAGNOSTIC_TEST: New Clinical Decision Support on fresh plasma|DIAGNOSTIC_TEST: New Clinical Decision Support on frozen plasma,Diagnostica Stago R&D,Centre Hospitalier de Niort|Centre Hospitalier le Mans,OBSERVATIONAL
NCT06480981,Multiple Ascending Dose Noribogaine PK/PD in Healthy Volunteers,https://clinicaltrials.gov/study/NCT06480981,RECRUITING,Pharmacokinetics,DRUG: Noribogaine,DemeRx NB,,INTERVENTIONAL
NCT06480968,CTH120 First-in-Human Study: Single and Multiple Ascending Doses and Potential Food Interaction,https://clinicaltrials.gov/study/NCT06480968,RECRUITING,Fragile X Syndrome,DRUG: CTH120|OTHER: Placebo,"Connecta Therapeutics, S.L.","Adknoma Health Research|Hospital del Mar Research Institute|Ministerio de Ciencia e Innovación, Spain",INTERVENTIONAL
NCT06480955,BOne Metastases REgistry for Patients Undergoing cryoAbLation With curatIve purpoSe,https://clinicaltrials.gov/study/NCT06480955,NOT_YET_RECRUITING,Bone Metastases,DEVICE: Cryoablation system,Cardiovascular and Interventional Radiological Society of Europe,Boston Scientific Corporation,OBSERVATIONAL
NCT06480942,Arterial Pressure Derived Dynamic Parameters to Detect Preload Responsiveness in Spontaneously Breathing Patients,https://clinicaltrials.gov/study/NCT06480942,RECRUITING,Hypovolemia,OTHER: Detection of preload responders by a PLR test,CHU de Reims,,OBSERVATIONAL
NCT06480929,LV Thrombus Screening in Anterior STEMI: Worth it?,https://clinicaltrials.gov/study/NCT06480929,COMPLETED,Thrombus of Left Ventricle|Anterior Wall Myocardial Infarction|ST Elevation Myocardial Infarction|Echocardiography,"OTHER: Contrast TTE procedure, the SonoVue ultrasound agent",Centro Hospitalar Tondela-Viseu,,INTERVENTIONAL
NCT06480916,Study of the Value of Maternal-fetal Transfers and Their Complexity of Their Implementation,https://clinicaltrials.gov/study/NCT06480916,RECRUITING,Maternal-Fetal Relations,PROCEDURE: Maternal-fetal transfers,Centre Hospitalier Régional Metz-Thionville,,OBSERVATIONAL
NCT06480903,Exploratory Study of EBV DNA Titre Clearance Whilst on Proton Beam Therapy,https://clinicaltrials.gov/study/NCT06480903,NOT_YET_RECRUITING,Nasopharyngeal Carcinoma|Head and Neck Cancer|Nasopharyngeal Cancer|Epstein-Barr Virus,,The Christie NHS Foundation Trust,,OBSERVATIONAL
NCT06480890,Real-World Effectiveness of a Triple Combination BDP/FF/GB in a Single Pressurised Metered Dose Inhaler in COPD Patients (TRIPHY),https://clinicaltrials.gov/study/NCT06480890,RECRUITING,Chronic Obstructive Pulmonary Disease,,Chiesi Farmaceutici S.p.A.,,OBSERVATIONAL
NCT06480877,Effect of Aerosol From THS and Cigarette Smoke on Periodontal Tissues and Its Microbiome,https://clinicaltrials.gov/study/NCT06480877,COMPLETED,Periodontal Diseases|Dysbiosis,DIAGNOSTIC_TEST: Taking a swab from periodontal pockets or gingival sulci,Clinical Hospital Center Rijeka,,OBSERVATIONAL
NCT06480864,Adebrelimab Plus Apatinib for Maintenance Therapy of Extensive Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT06480864,NOT_YET_RECRUITING,Small Cell Lung Cancer,DRUG: Adebrelimab Injection|DRUG: Apatinib Mesylate Tablets|DRUG: Carboplatin|DRUG: Cisplatin|DRUG: Etoposide,Yunpeng Liu,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT06480851,Effectiveness of Percutaneous Neuromodulation in the Treatment of Cervical Pain in University Students.,https://clinicaltrials.gov/study/NCT06480851,NOT_YET_RECRUITING,Neck Pain,PROCEDURE: Ecoguided Percutaneous Neuromodulation,CEU San Pablo University,Universidad Católica de Ávila,INTERVENTIONAL
